objectid,title,display_template,creator,date,degree,thesis_url,description,location,object_location,subject,format,rights,website,image_small,latitude,longitude
hist_306,"Indian reserve policy in Upper Canada, 1830-1845.",pdf,"Surtees, Robert J.",1967,Master of Arts,https://curve.carleton.ca/4b74af6f-0ffc-42e7-b079-04910cf5e494,not yet transcribed,Canada,https://curve.carleton.ca/system/files/etd/4b74af6f-0ffc-42e7-b079-04910cf5e494/etd_pdf/29f79370a1f79cb718afcedcca8c2e49/surtees-indianreservepolicyinuppercanada18301845.pdf,First Nations;Government Relations; Indian Reservations; Treatment Of,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson6.jpg,56.1304,-106.3468
hist_305,"British ambassadors in Berlin, 1920-1939; the diplomat as a source of information for the formulation of British policy toward Germany.",pdf,"Fairbairn, Garry Lawrence",1969,Master of Arts,https://curve.carleton.ca/114a35e5-d9b1-42fb-bb16-ebc48b5cdb79,"The British ambassadors in Berlin between the wars, diplomats still in the nineteenth century tradition but faced with new problems, generally handled their difficult task well, with the exception of Sir Nevile Henderson. The ambassadors of the 1920's and 1930's displayed a general continuity of interpretationand advice, expressing consistent support for a policy of appeasing German desires. These diplomats saw German society as unstable and given to outbreaks of extremism, but in the long run amenable to conciliatory treatment, since the governing elite was predominantly moderate and responsable. This moderate element was,in the eyes of the ambassadors, trustworthy and could be strengthened by timely British gestures and concessions. The advent of Hitler altered the picture only in that the threat of extremist elements became more immediate. Nazi ambitions were increasingly seen as legitimate, as one ambassedor succeeded another, and Hitler was portrayed as a moderate within the Third Reich. This coincided with a continuing decline in the ambassadors' relations with German leaders and officials and in the quality of their sources of information. Nevertheless, the British representatives also described the risks of an appeasement policy and the need for caution and the development of British strength while executing this policy. On the whole, the despatches of the ambassadors suggest that any divergence of views between them and the British government has been exaggerated.  ",Britain;Germany,https://curve.carleton.ca/system/files/etd/114a35e5-d9b1-42fb-bb16-ebc48b5cdb79/etd_pdf/0671f41a44211ca36544df279baacb0a/fairbairn-britishambassadorsinberlin19201939thediplomat.pdf,Great Britain ;Foreign Relations ;Germany ;Great Britain ;Foreign Relations 1910-1936Germany ;Foreign Relations ;Great Britain ; Diplomats ;Great Britain ,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson7.jpg,54.559323,-3.174022
hist_304,"A majestic story of orderly progress; English Canadian novelists on Canadian society, 1896-1900.",pdf,"Beckow, Stephen Mark",1970,Master of Arts,https://curve.carleton.ca/17f1d29e-4b98-4601-9f2c-0b8bebcfda60,not yet transcribed,Canada,https://curve.carleton.ca/system/files/etd/17f1d29e-4b98-4601-9f2c-0b8bebcfda60/etd_pdf/6ecb12bb486891f65faea2353fe6a166/beckow-amajesticstoryoforderlyprogressenglishcanadian.pdf,Progress;Social Conditions; Canadian Literature 19th Century ;History And Criticism,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/wp-content/uploads/paterson-hall-thumb.jpg,56.1304,-106.3468
hist_302,The Decline of the Conservative Party (1935-1938).,pdf,"Beatty, John M.",1971,Master of Arts,https://curve.carleton.ca/8f0fbaef-f968-4534-8f17-9d660837b7c6,not yet transcribed,Canada,https://curve.carleton.ca/system/files/etd/8f0fbaef-f968-4534-8f17-9d660837b7c6/etd_pdf/8c017471179fcb9e025390ecbba0c860/beatty-thedeclineoftheconservativeparty19351938.pdf,Progressive Conservative Party Of Canada;Politics And Government 1935-1957,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,56.1304,-106.3468
hist_303,Monolithism and modernization: Cite libre: premiere serie and its emergence from the Quebec intellectual milieu.,pdf,"Perin, Robert A. J.",1971,Master of Arts,https://curve.carleton.ca/ba1c6259-c8e3-455b-b362-b03027e14d9b,not yet transcribed,Quebec,https://curve.carleton.ca/system/files/etd/ba1c6259-c8e3-455b-b362-b03027e14d9b/etd_pdf/06dc6b40bfcecceb2ae7958733b46638/perin-monolithismandmodernizationcitelibrepremiere.pdf,Intellectual Life,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,52.9399,-73.5491
hist_298,Reluctant patriots: the swiss revolution of 1798 to 1803.,pdf,"Aksim, Rudolf Ervin",1972,Master of Arts,https://curve.carleton.ca/23735b9a-093b-41da-8933-0b5285b89499,not yet transcribed,Switzerland,https://curve.carleton.ca/system/files/etd/23735b9a-093b-41da-8933-0b5285b89499/etd_pdf/1c5df1dd84cbb28ea651e2a5ee22dd7b/aksim-reluctantpatriotstheswissrevolutionof1798.pdf,"Switzerland ;History Helvetic Republic, 1798-1803",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson5.jpg,46.8182,8.2275
hist_299,"Department of Labour and industrial relations, 1900-1911.",pdf,"Atherton, James J.",1972,Master of Arts,https://curve.carleton.ca/09b721c4-d3c1-4f5c-90ca-163f6eb892c2,not yet transcribed,Canada,https://curve.carleton.ca/system/files/etd/09b721c4-d3c1-4f5c-90ca-163f6eb892c2/etd_pdf/f3d8029bdb0fa795c5b484f14b9cae99/atherton-departmentoflabourandindustrialrelations19001911.pdf,"Canada; Dept; Of Labor; Mediation And Conciliation, Industrial ;Industrial relationsStatistics",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson3.jpg,56.1304,-106.3468
hist_300,"Canadian response to Joseph Chamberlains tariff reform campaign, 1903-1906.",pdf,"Attwell, William George",1972,Master of Arts,https://curve.carleton.ca/07e635fc-3a55-4210-b918-5afdb53cbc30,not yet transcribed,Canada,https://curve.carleton.ca/system/files/etd/07e635fc-3a55-4210-b918-5afdb53cbc30/etd_pdf/246c0cfac37915b78abd137123019484/attwell-canadianresponsetojosephchamberlainstariff.pdf,"Chamberlain, Joseph, 1836-1914;Imperial Preference;Politics And Government 1896-1911",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson2.jpg,56.1304,-106.3468
hist_301,"The plains Cree: a preliminary trade and military chronology, 1670-1870.",pdf,"Milloy, John Sheridan",1972,Master of Arts,https://curve.carleton.ca/69b1162a-dbc5-4fc4-9aa5-7408133637af,not yet transcribed,Ontario,https://curve.carleton.ca/system/files/etd/69b1162a-dbc5-4fc4-9aa5-7408133637af/etd_pdf/c6d3178b6b026aa889f17a3d4ea23a67/milloy-theplainscreeapreliminarytradeandmilitary.pdf,Land Transfers ;Ontario ;First Nations;Government Relations,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson1.jpg,51.2538,-85.3232
hist_293,Appreciation of the biographical studies of general Jean Victor Moreau (1763-1813) with particular reference to his alleged participation in the (royalist) conspiracy against Napoleon I in 1804.,pdf,"Montgomery, Frances Elizabeth Sargent",1977,Master of Arts,https://curve.carleton.ca/e0aab2c2-b37d-4f3a-a892-0d918bf71150,not yet transcribed,France,https://curve.carleton.ca/system/files/etd/e0aab2c2-b37d-4f3a-a892-0d918bf71150/etd_pdf/0794276f4bc56b66cdc821a4bcacb71b/montgomery-appreciationofthebiographicalstudiesofgeneral.pdf,"Moreau, Jean Victor Marie, 1763-1813; Consulate And Empire, 1799-1815",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson1.jpg,46.2276,2.2137
hist_294,English local risings in 1327 with particular emphasis on Bury St. Edmunds,pdf,"Bloom, Michael Robert",1977,Master of Arts,https://curve.carleton.ca/3677709f-20e0-4f89-9f73-76352bb6cf9d,"Chapter I examines the national situation from the time of Isabella's invasion in September 1326 till the coronation of Edward III in February 1327. The origins of the risings at Bury St. Edmunds and St. Albans are considered and their relationship to the political crisis are analysed. Chapter II considers the response of Isabella and Mortimer to political dissension within the realm and the threat of invasion from Scotland. The impact of the policy of accommodation upon the local risings is discussed. Chapter III looks at the involvement of the central authority in preparing for war and in conducting the northern campaigns between April and October 1327. The origins and events of the Abingdon rising are studied. Governmental reaction to renewed violence at Bury is examined. Chapter IV studies the functioning of the judicial process at Bury from October 1527 till May 1328. The efforts of the central government to secure convictions against the accused and the attendant response of the local inhabitants are discussed. Chapter V provides a quantitative analysis of the social and economic status of the Bury rebels based upon a comparative study of the record of the oyer et terminer proceedings and the Suffolk subsidy roll for 1327. The importance of lordship, geographical location, wealth and occupation as determinants of proclivity to revolt are considered.",England,https://curve.carleton.ca/3677709f-20e0-4f89-9f73-76352bb6cf9d,politics;rebellion;local,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,52.3555,1.1743
hist_295,"Development of the Upper Canadian philosophy of education, 1791-1841",pdf,"Currie, John George",1977,Master of Arts,https://curve.carleton.ca/6c643cb6-501b-441b-964f-e948cbcae27c,"Upper Canadian history displays an amazing zeal in the field of education. Indeed before the colony was a decade old there were nearly a score of identifiable schools established, some with more longevity than others.  These schools were varied: some were run by ministers of the Church of England, by loyalists, by Presbyterians, by Baptists, by Moravians and by men who had failed at other employment, and by 1804 the Catholics were demanding their own. There was a classical school, a school for Mohawks and a school for orphans. These schools, however varied, strove for a basic goal. It was their intent to promote loyalty, morality and Christianity in the colony. This striving for morality was in the old Puritan sense. They were not to give the people charity, alms, but to promote man himself. The man was to be made aware of his usefulness and this would prevent sloth and excess. Poverty and idleness led to crime, freethinking and disloyality.",Ontario,https://curve.carleton.ca/6c643cb6-501b-441b-964f-e948cbcae27c,"Education ;Ontario ; History 1791-1841Ontario ; 1791-1841Strachan, John, ; 1778-1867",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/wp-content/uploads/paterson-hall-thumb.jpg,51.2538,-85.3232
hist_296,"Daily press and the Beauharnois power project, 1928-1933",pdf,"Drystek, Henry Frank",1977,Master of Arts,https://curve.carleton.ca/2e1ef4b1-b02c-4597-93ef-ea66c9b81822,"The daily press serves a function which is greater than the mere dissemination of objective news reports. By analysing the Beauharnois Power project one can gain some insight into the manner in which the national newspapers helped to shape the Canadian political and economic fabric during the period that the nation was industrializing. The press, in its self-appointed role as the disciple of economic expansion and the defender of the national welfare, served as an influential conservative force in the Canadian community.",Ontario;Quebec,https://curve.carleton.ca/2e1ef4b1-b02c-4597-93ef-ea66c9b81822,Press ; Saint Lawrence River ; Power Utilization; Beauharnois Power Corporation,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson7.jpg,51.2538,-85.3232
hist_297,"P. A. Stolypin and the Polish question in Russian politics, 1906-1911",pdf,"Gebhard, Krzystof Marian",1977,Master of Arts,https://curve.carleton.ca/945ce018-9748-460f-ab22-0c833e45d837,"P. A. Stolypin (1863-1911), was the Chairman of the Council of Ministers and the Minister of the Interior in the Russian Imperial Government from 1906 until his assassination in 1911. While being generally associated with his agrarian reforms, his rule coincided with an upsurge of Russian nationalism after the Revolution of 1905. Stolypin managed to use this nationalism as a cornerstone of his political program and as a means of attaining the popular support.",Russia,https://curve.carleton.ca/945ce018-9748-460f-ab22-0c833e45d837,"Stolypin, Petr Arkad'evich, 1862-1911 ; Politics and government 1904-1914",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson6.jpg,61.5240,105.3188
hist_291,The Catholic Missionaries as Agents of Social Change Among the Metis and Indians of Red River 1818-1845,pdf,"Gainer, Brenda J.",1978,Master of Arts,https://curve.carleton.ca/b7b68b1c-7672-4054-8630-4c094987c2ae,The historiography of the pre-1870 West generally views the Catholic missions as a factor of funadmental importance in shaping the unique culture of the French-speaking native people in the Red River area. This thesis argues that the Catholic missionaries aimed at the complete transformation of aboriginal society just as much as their Protestant counterparts.,Manitoba,https://curve.carleton.ca/system/files/etd/b7b68b1c-7672-4054-8630-4c094987c2ae/etd_pdf/2005f019253c6f3c276261a77c061b79/gainer-catholicmissionariesasagentofsocialchange.pdf,Missions ;Manitoba ;Red River Settlement; Catholic Church ;Missions ; Metis ;Manitoba ;Red River Settlement; Indians Of North America ;Manitoba ;Red River Settlement,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson3.jpg,53.7609,-98.8139
hist_292,"Steel at the Sault: Sir James Dunn and The Algoma Steel Corporation, 1906-1956.",pdf,"McDowall, Duncan",1978,Doctor of Philosophy,https://curve.carleton.ca/0d25b264-b92f-4761-af81-25b0b33cce39,not yet transcribed,Ontario,https://curve.carleton.ca/system/files/etd/0d25b264-b92f-4761-af81-25b0b33cce39/etd_pdf/547838d7e13b827598932c12b96ee2f0/mcdowall-steelatthesaultsirjamesdunnandthealgomasteel.pdf,"Algoma Steel Corporation; Steel Industry And Trade ; Dunn, James, Sir, 1875-1956",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson2.jpg,51.2538,-85.3232
hist_290,The politics of dissent; an inquiry into the departmental risings of 1793 in Normandy and Brittany.,pdf,"Kelsh, James William",1980,Master of Arts,https://curve.carleton.ca/e3551733-ebc3-48f4-8718-ebd09a856fef,not yet transcribed,France,https://curve.carleton.ca/system/files/etd/e3551733-ebc3-48f4-8718-ebd09a856fef/etd_pdf/a47f1aac033c3ddbc7b1bbb3eee4c1fa4/kelsh-thepoliticsofdissentaninquiryintothedepartmental.pdf,"France ;History Reign Of Terror, 1793-1794; Normandy (France) ; Brittany (France) ;History",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson5.jpg,46.2276,2.2137
hist_284,Stalin in the Civil War.,pdf,"Harrison, Paul N. H.",1981,Master of Arts,https://curve.carleton.ca/719b3368-7844-45c9-b072-3c6a98f407c4,not yet transcribed,USSR,https://curve.carleton.ca/system/files/etd/719b3368-7844-45c9-b072-3c6a98f407c4/etd_pdf/4acb17189d137138edb4d5e458faf62a/harrison-stalininthecivilwar.pdf,"Stalin, Joseph, 1879-1953;Revolution, 1917-1921",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson7.jpg,61.5240,105.3188
hist_285,Gaol delivery in the Eastern Circuit 1437-1439.,pdf,"Briggs, Rosemary",1981,Master of Arts,https://curve.carleton.ca/6c5060c4-a937-4d63-b346-6d9c79070cf3,not yet transcribed,Britain,https://curve.carleton.ca/system/files/etd/6c5060c4-a937-4d63-b346-6d9c79070cf3/etd_pdf/97749bd6c1dccda2110083f616a101e5/briggs-gaoldeliveryintheeasterncircuit14371439.pdf,Courts ;Great Britain ; Coroners ; Criminal Procedure,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson6.jpg,54.559323,-3.174022
hist_286,Righteousness exalteth the nation: the Toronto Banner and the nineteenth-century evangelical crusade in Upper Canada.,pdf,"James, Peter D",1981,Master of Arts,https://curve.carleton.ca/ec08516c-f932-4fe5-ba17-eeb7409d34cc,not yet transcribed,Ontario,https://curve.carleton.ca/system/files/etd/ec08516c-f932-4fe5-ba17-eeb7409d34cc/etd_pdf/6cae52252d4582e1081b2f8ea9efd110/james-righteousnessexalteththenationthetorontobanner.pdf,Church History;Religion ; Sects,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson5.jpg,51.2538,-85.3232
hist_287,Attitudes to social structure and social mobility in Upper Canada (1815-1840).,pdf,"Russell, Peter A.",1981,Doctor of Philosophy,https://curve.carleton.ca/5f631d0f-9898-4445-b905-a91e7c9abde5,not yet transcribed,Ontario,https://curve.carleton.ca/system/files/etd/5f631d0f-9898-4445-b905-a91e7c9abde5/etd_pdf/85687169aa6e348cce6ac2afe8acb5f6/russell-attitudestosocialstructureandsocialmobility.pdf,Social structure ;Ontario ;History 19th Century; Social Mobility ;Ontario ;History 19th Century,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson3.jpg,51.2538,-85.3232
hist_288,"An examination of the relationship between General Dumouriez and the Girondins, March 1792 - April 1793.",pdf,"Carrothers, Wendell Weir",1981,Master of Arts,https://curve.carleton.ca/0d5d2409-8d11-4d21-a142-e9eb4c531c54,not yet transcribed,France,https://curve.carleton.ca/system/files/etd/0d5d2409-8d11-4d21-a142-e9eb4c531c54/etd_pdf/fee5eda4a90855cc5d5e07a2df246ef4/carrothers-anexaminationoftherelationshipbetweengeneral.pdf,"France ;History Revolution, 1789-1799Dumouriez, Charles Francois Duperier, 1789-1823Girondists",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson2.jpg,46.2276,2.2137
hist_289,"A troubled Zion; the Anglican experience in Upper Canada, 1791-1854.",pdf,"Fahey, Curtis",1981,Doctor of Philosophy,https://curve.carleton.ca/d7aacc75-911a-47ac-b0cc-13d60b4a07c5,not yet transcribed,Ontario,https://curve.carleton.ca/system/files/etd/d7aacc75-911a-47ac-b0cc-13d60b4a07c5/etd_pdf/009cf3094dc9a5a3dd8d8b0138cb6570/fahey-atroubledziontheanglicanexperienceinupper.pdf,Church Of England;Ontario ;Ontario ;History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson1.jpg,51.2538,-85.3232
hist_282,"From the St. Lawrence to Lake Superior; Peter Buell Porter, the Anglo-American Joint Commission of 1816-1822 and the charting of the Canadian-American boundary.",pdf,"Scheuer, M. F.",1982,Master of Arts,https://curve.carleton.ca/a705f490-2bfe-49b7-9a93-a348b4b16e4f,not yet transcribed,US,https://curve.carleton.ca/system/files/etd/a705f490-2bfe-49b7-9a93-a348b4b16e4f/etd_pdf/75b8a0834187eefc0d13d96d3aa393de/scheuer-fromthestlawrencetolakesuperiorpeterbuell.pdf,"Boundaries ; Porter, Peter Buell; Anglo-american Joint Commission (1816-1822)",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,39.833851,-84.893287
hist_283,The concept of loyalty in Upper Canada 1815-1850.,pdf,"Mills, David Clifford",1982,Doctor of Philosophy,https://curve.carleton.ca/426f8152-a406-4cb5-8313-cd9901f1f12c,not yet transcribed,Ontario,https://curve.carleton.ca/system/files/etd/426f8152-a406-4cb5-8313-cd9901f1f12c/etd_pdf/4851f4cd540101c85a33c2ad4ffd1d23/mills-theconceptofloyaltyinuppercanada18151850.pdf,Allegiance ; 19th Century,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/wp-content/uploads/paterson-hall-thumb.jpg,51.2538,-85.3232
hist_277,"Indian land cessions in Ontario, 1763-1862: the evolution of a system.",pdf,"Surtees, Robert J.",1983,Doctor of Philosophy,https://curve.carleton.ca/2715b1bf-f421-4566-90b6-177939471d8d,not yet transcribed,Ontario,https://curve.carleton.ca/system/files/etd/2715b1bf-f421-4566-90b6-177939471d8d/etd_pdf/c8e8098d746ed52a1c38429867c1a553/surtees-indianlandcessionsinontario17631862theevolution.pdf,Indian Land Transfers ;Ontario ; Indians Of North America ;Government Relations,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson3.jpg,51.2538,-85.3232
hist_278,Gaol delivery in Yorkshire 1399-1407.,pdf,"Ellis, Karen Elizabeth",1983,Master of Arts,https://curve.carleton.ca/255da535-4b10-419b-9cce-1219c3fa79f2,not yet transcribed,England;Yorkshire,https://curve.carleton.ca/system/files/etd/255da535-4b10-419b-9cce-1219c3fa79f2/etd_pdf/a3e5801b99633f1f17e411ad9ef2fa33/ellis-gaoldeliveryinyorkshire13991407.pdf,Trials ; Crime,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson2.jpg,53.948465, -1.276922
hist_279,Gaol delivery in the southwestern counties 1416-1430.,pdf,"Elder, Carol",1983,Master of Arts,https://curve.carleton.ca/bf5fb7fc-bc66-454a-ade3-43ff0a2ec14b,not yet transcribed,England,https://curve.carleton.ca/system/files/etd/bf5fb7fc-bc66-454a-ade3-43ff0a2ec14b/etd_pdf/b0431b6b894f2475b9f2a6eb801b20e1/elder-gaoldeliveryinthesouthwesterncounties14161430.pdf,Trials ;Great Britain ;History To 1485; Crime,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson1.jpg,52.3555,1.1743
